"","comm_name","fishery","year","date","action","reason","lat_s","lat_n","where","link","notes"
"1","CHECK FOR SSMA",NA,2017,NA,NA,NA,47.08,47.28,"Quinault SMA, Copalis River to Raft River","http://www.psmfc.org/crab/2016-2017%20files/January%207%20opening%20coast%20wide.pdf","CHECK and ask Chris about this reversion: http://www.psmfc.org/crab/2016-2017%20files/Industry%20Notice%2003%2002%2017.pdf"
"2","CHECK WHA HAPPEND WITH THIS AREA",NA,2013,NA,NA,NA,47.08,47.245,"Quinault Secondary SMA, Copalis River to Split Rock","http://www.psmfc.org/crab/2012-2013%20files/WA_01102013.pdf",NA
"3","CHECK WHAT HAPPEND WITH THIS AREA",NA,2015,NA,NA,NA,47.08,47.28,"Quinault SMA, Copalis River to Raft River","http://www.psmfc.org/crab/2014-2015%20files/WA_12022014LTF.pdf","need to undedestand what happens witht he secondary SMA, READ: http://www.psmfc.org/crab/2014-2015%20files/WA_04012015.pdf"
"4","Dungeness Crab","commercial",2004,2004-12-01,"close","body condition",45.46,48.48,"Cape Falcon, OR to WA-Canada border","http://www.psmfc.org/crab/CrabThirdOpenerNotice122104.pdf",NA
"5","Dungeness Crab","commercial",2004,2004-12-01,"open","body condition",32.534343,45.46,"Cape Falcon, CA to Cape Flacon OR","http://www.psmfc.org/crab/CrabThirdOpenerNotice122104.pdf",NA
"6","Dungeness Crab","commercial",2005,2005-01-15,"open","body condition",45.46,48.48,"Cape Falcon, OR to WA-Canada border","http://www.psmfc.org/crab/CrabThirdOpenerNotice122104.pdf",NA
"7","Dungeness Crab","commercial",2005,2005-12-01,"close","body condition",38.908,48.48,"Point Arenas, Point Arenas CA to WA-Canada border","http://www.psmfc.org/crab/2005-2006%20files/ODFG_2005%20Season%20Opener%20delay%20FINAL%20release%203%20pm.pdf","Recreational harvest of Dungeness crab in Oregon’s bays and estuaries will remain
open. Commercial harvest of crab in bays and estuaries will also remain open through
Dec. 31"
"8","Dungeness Crab","commercial",2005,2005-12-31,"open","body condition",38.908,48.48,"Point Arenas, Point Arenas CA to WA-Canada border","http://www.psmfc.org/crab/2005-2006%20files/news%20release%2012.9.05.pdf",NA
"9","Dungeness Crab","commercial",2006,2006-12-01,"open","body condition",41.9981226,46.264709,"OR","http://www.psmfc.org/crab/2006-2007%20files/2006-07%20season%20mailing%2011%2022%2006%20FINAL.pdf",NA
"10","Dungeness Crab","commercial",2006,2006-12-01,"close","gear reduction",46.15,46.28,"OR-WA border to Klipsan Beach","http://www.psmfc.org/crab/2006-2007%20files/WA%20Nov%2022%202006%20ltr.pdf","Includes Willapa Bay"
"11","Dungeness Crab","commercial",2006,2006-12-01,"close","body condition",46.28,47.405,"Kalipsan Beach to Destruction Island","http://www.psmfc.org/crab/2006-2007%20files/WA%20Nov%2022%202006%20ltr.pdf","Special Management Area (SMA) between the mouth of the Copalis River and Destruction Island will be closed to the state fishery"
"12","Dungeness Crab","commercial",2006,2007-01-05,"open","body condition",46.28,47.405,"Kalipsan Beach to Destruction Island","http://www.psmfc.org/crab/2006-2007%20files/WA%20Nov%2022%202006%20ltr.pdf","Special Management Area (SMA) between the mouth of the Copalis River and Destruction Island will be closed to the state fishery"
"13","Dungeness Crab","commercial",2006,2007-01-05,"open","body condition",48.07,48.48,"Sands Point to US-Canada border","http://www.psmfc.org/crab/2006-2007%20files/WA%20Nov%2022%202006%20ltr.pdf","Special Management Area (SMA) between the mouth of the Copalis River and Destruction Island will be closed to the state fishery"
"14","Dungeness Crab","commercial",2006,2007-01-16,"open","body condition",47.405,48.07,"Destruction Island to Sand Point","http://www.psmfc.org/crab/2006-2007%20files/WA%20Nov%2022%202006%20ltr.pdf","This area has a SMA that is closed to state fishers"
"15","Dungeness Crab","commercial",2006,2007-01-16,"open","gear reduction",46.15,46.28,"OR-WA border to Klipsan Beach","http://www.psmfc.org/crab/2006-2007%20files/WA%20Nov%2022%202006%20ltr.pdf","Includes Willapa Bay"
"16","Dungeness Crab","commercial",2007,2007-11-14,"close","oil spill",37.6,38,"San Pedro Point to Point Reyes Lighthouse","http://www.psmfc.org/crab/2007-2008%20files/DFG%20Defines%20San%20Francisco%20Bay%20Fishing%20Closure%20Zones.pdf","San Francisco Bay, west of the Carquinez Bridge WHEN DID IT OPEN??"
"17","Dungeness Crab","commercial",2007,2007-12-01,"close","gear reduction",46.15,46.28,"OR-WA border to Klipsan Beach","http://www.psmfc.org/crab/2007-2008%20files/WA%20Letter%20to%20Fishers%20Nov%2021%202007.pdf",NA
"18","Dungeness Crab","commercial",2007,2007-12-01,"close","body condition",46.28,47.405,"Kalipsan Beach to Destruction Island","http://www.psmfc.org/crab/2007-2008%20files/Ltr%20to%20Fishers_12_20_07.pdf",NA
"19","Dungeness Crab","commercial",2007,2007-12-01,"close","body condition",47.405,48.48,"Destruction Island to WA-Canada Border","http://www.psmfc.org/crab/2007-2008%20files/Ltr%20to%20Fishers_12_20_07.pdf",NA
"20","Dungeness Crab","commercial",2008,2007-12-01,"close","SMA",47.08,47.18,"Quinault  Secondary SMA, Copalis River to Point Grenville","http://www.psmfc.org/crab/2007-2008%20files/Ltr%20to%20Fishers_12_20_07.pdf","fishers must preregister with the department proir to deploying gear in this area. There is a 100 pot limit for state fishers through April 30, 2008"
"21","Dungeness Crab","commercial",2008,2007-12-01,"close","SMA",47.18,47.24,"Quinault Second SSMA, Point Grenville to Split Rock","http://www.psmfc.org/crab/2007-2008%20files/Ltr%20to%20Fishers_12_20_07.pdf","fishers must preregister with the department proir to deploying gear in this area. There is a 100 pot limit for state fishers through April 30, 2008"
"22","Dungeness Crab","commercial",2008,2007-12-01,"close","SMA",47.405,47.58,"Quileute SMA, Destruction Island to Cape Johnson","http://www.psmfc.org/crab/2007-2008%20files/Ltr%20to%20Fishers_12_20_07.pdf",NA
"23","Dungeness Crab","commercial",2008,2007-12-01,"close","SMA",48.02,48.195,"Makah SMA","http://www.psmfc.org/crab/2007-2008%20files/Ltr%20to%20Fishers_12_20_07.pdf",NA
"24","Dungeness Crab","commercial",2007,2007-12-01,"open","body condition",38.7666488,41.9981226,"Mendocino to Del Norte","http://www.psmfc.org/crab/2007-2008%20files/CA%20Pre-Soak2007.pdf",NA
"25","Dungeness Crab","commercial",2007,2007-12-30,"open","gear reduction",46.15,46.28,"OR-WA border to Klipsan Beach","http://www.psmfc.org/crab/2007-2008%20files/WA%20Letter%20to%20Fishers%20Nov%2021%202007.pdf",NA
"26","Dungeness Crab","commercial",2007,2007-12-30,"close","SMA",47.08,47.28,"Quinault SMA, Copalis River to Raft River","http://www.psmfc.org/crab/2007-2008%20files/Ltr%20to%20Fishers_12_20_07.pdf",NA
"27","Dungeness Crab","commercial",2007,2008-01-02,"open","body condition",46.28,47.405,"Kalipsan Beach to Destruction Island","http://www.psmfc.org/crab/2007-2008%20files/Ltr%20to%20Fishers_12_20_07.pdf",NA
"28","Dungeness Crab","commercial",2008,2008-01-15,"open","body condition",47.405,48.48,"Destruction Island to WA-Canada Border","http://www.psmfc.org/crab/2007-2008%20files/Ltr%20to%20Fishers_12_20_07.pdf",NA
"29","Dungeness Crab","commercial",2008,2008-01-15,"close","SMA",47.405,47.58,"Quileute SMA, Destruction Island to Cape Johnson","http://www.psmfc.org/crab/2007-2008%20files/Ltr%20to%20Fishers_12_20_07.pdf",NA
"30","Dungeness Crab","commercial",2008,2008-01-15,"close","SMA",48.02,48.195,"Makah SMA","http://www.psmfc.org/crab/2007-2008%20files/Ltr%20to%20Fishers_12_20_07.pdf",NA
"31","Dungeness Crab","commercial",2008,2008-02-15,"open","SMA",48.02,48.195,"Makah SMA","http://www.psmfc.org/crab/2007-2008%20files/Ltr%20to%20Fishers_12_20_07.pdf",NA
"32","Dungeness Crab","commercial",2008,2008-02-28,"close","SMA/gear reduction",47.08,47.28,"Quinault SMA, Copalis River to Raft River","http://www.psmfc.org/crab/2007-2008%20files/Ltr%20to%20Fishers_12_20_07.pdf","fishers must preregister with the department proir to deploying gear in this area. There is a 100 pot limit for state fishers through April 30, 2008"
"33","Dungeness Crab","commercial",2008,2008-02-28,"close","SMA",47.08,47.18,"Quinault  Secondary SMA, Copalis River to Point Grenville","http://www.psmfc.org/crab/2007-2008%20files/Ltr%20to%20Fishers_12_20_07.pdf","fishers must preregister with the department proir to deploying gear in this area. There is a 100 pot limit for state fishers through April 30, 2008"
"34","Dungeness Crab","commercial",2008,2008-02-28,"close","SMA",47.18,47.24,"Quinault Second SSMA, Point Grenville to Split Rock","http://www.psmfc.org/crab/2007-2008%20files/Ltr%20to%20Fishers_12_20_07.pdf","fishers must preregister with the department proir to deploying gear in this area. There is a 100 pot limit for state fishers through April 30, 2008"
"35","Dungeness Crab","commercial",2008,2008-04-30,"open","SMA/gear reduction",47.08,47.28,"Quinault SMA, Copalis River to Raft River","http://www.psmfc.org/crab/2007-2008%20files/Ltr%20to%20Fishers_12_20_07.pdf","fishers must preregister with the department proir to deploying gear in this area. There is a 100 pot limit for state fishers through April 30, 2008"
"36","Dungeness Crab","commercial",2008,2008-05-01,"close","SMA/gear reduction",47.405,47.58,"Quileute SMA, Destruction Island to Cape Johnson","http://www.psmfc.org/crab/2007-2008%20files/Ltr%20to%20Fishers_12_20_07.pdf",NA
"37","Dungeness Crab","commercial",2008,2008-05-31,"close","SMA/gear reduction",47.405,47.58,"Quileute SMA, Destruction Island to Cape Johnson","http://www.psmfc.org/crab/2007-2008%20files/Ltr%20to%20Fishers_12_20_07.pdf",NA
"38","Dungeness Crab","commercial",2008,2008-12-01,"open","body condition",46.15,46.28,"OR-WA border to Klipsan Beach","http://www.psmfc.org/crab/2008-2009%20files/2008-2009_January%208%202008%20letter%20to%20fishers.pdf",NA
"39","Dungeness Crab","commercial",2009,2008-12-01,"close","body condition",46.28,47.405,"Klipsan Beach to Destruction Island","http://www.psmfc.org/crab/2008-2009%20files/2008-2009_January%208%202008%20letter%20to%20fishers.pdf",NA
"40","Dungeness Crab","commercial",2009,2008-12-01,"close","body condition",47.405,48.48,"Destruction Island to WA-Canada Border","http://www.psmfc.org/crab/2008-2009%20files/2008-2009_January%208%202008%20letter%20to%20fishers.pdf",NA
"41","Dungeness Crab","commercial",2009,2009-01-12,"close","SMA",47.08,47.28,"Quinault SMA, Copalis River to Raft River","http://www.psmfc.org/crab/2008-2009%20files/2008-2009_January%208%202008%20letter%20to%20fishers.pdf",NA
"42","Dungeness Crab","commercial",2009,2009-01-15,"open","body condition",46.28,47.405,"Klipsan Beach to Destruction Island","http://www.psmfc.org/crab/2008-2009%20files/2008-2009_January%208%202008%20letter%20to%20fishers.pdf",NA
"43","Dungeness Crab","commercial",2009,2009-01-15,"open","body condition",47.405,48.48,"Destruction Island to WA-Canada Border","http://www.psmfc.org/crab/2008-2009%20files/2008-2009_January%208%202008%20letter%20to%20fishers.pdf",NA
"44","Dungeness Crab","commercial",2009,2009-01-15,"close","SMA",47.405,47.58,"Quileute SMA, Destruction Island to Cape Johnson","http://www.psmfc.org/crab/2008-2009%20files/2008-2009_January%208%202008%20letter%20to%20fishers.pdf",NA
"45","Dungeness Crab","commercial",2009,2009-01-15,"close","SMA",48.02,48.195,"Makah SMA","http://www.psmfc.org/crab/2008-2009%20files/2008-2009_January%208%202008%20letter%20to%20fishers.pdf",NA
"46","Dungeness Crab","commercial",2009,2009-02-14,"close","SMA/gear reduction",48.02,48.195,"Makah SMA","http://www.psmfc.org/crab/2008-2009%20files/2008-2009_January%208%202008%20letter%20to%20fishers.pdf",NA
"47","Dungeness Crab","commercial",2009,2009-02-28,"close","SMA/gear reduction",47.08,47.28,"Quinault SMA, Copalis River to Raft River","http://www.psmfc.org/crab/2008-2009%20files/2008-2009_January%208%202008%20letter%20to%20fishers.pdf","100 pot limits"
"48","Dungeness Crab","commercial",2009,2009-02-28,"close","SMA",47.08,47.18,"Quinault Secondary SMA, Copalis River to Point Grenville","http://www.psmfc.org/crab/2008-2009%20files/2008-2009_January%208%202008%20letter%20to%20fishers.pdf",NA
"49","Dungeness Crab","commercial",2009,2009-02-28,"close","SMA",47.08,47.24,"Quinault Second Secondary SMA, Copalis River to Point Grenville","http://www.psmfc.org/crab/2008-2009%20files/2008-2009_January%208%202008%20letter%20to%20fishers.pdf",NA
"50","Dungeness Crab","commercial",2009,2009-03-16,"open","SMA/gear reduction",48.02,48.195,"Makah SMA","http://www.psmfc.org/crab/2008-2009%20files/2008-2009_Industry%20Notice%20Makah%20SMA%20registration.pdf",NA
"51","Dungeness Crab","commercial",2009,2009-04-30,"open","SMA/gear reduction",47.08,47.28,"Quinault SMA, Copalis River to Raft River","http://www.psmfc.org/crab/2008-2009%20files/2008-2009_January%208%202008%20letter%20to%20fishers.pdf",NA
"52","Dungeness Crab","commercial",2009,2009-05-01,"close","SMA/gear reduction",47.405,47.58,"Quileute SMA, Destruction Island to Cape Johnson","http://www.psmfc.org/crab/2008-2009%20files/2008-2009_January%208%202008%20letter%20to%20fishers.pdf",NA
"53","Dungeness Crab","commercial",2009,2009-06-01,"open","SMA/gear reduction",47.405,47.58,"Quileute SMA, Destruction Island to Cape Johnson","http://www.psmfc.org/crab/2008-2009%20files/2008-2009%20Industry%20Notice_Quileute%20SMA%20opener.pdf",NA
"54","Dungeness Crab","commercial",2009,2009-06-06,"open","SMA",47.245,47.28,"From split rock to raft river","http://www.psmfc.org/crab/2008-2009%20files/Industry%20Notice_Raft%20River%20to%20Split%20Rock%206%2009.pdf","The pot limit in place in the Quileute SMA was removed at 8:00 am June 1, 2009; there are no SMA restrictions currently in the Quileute SMA area."
"55","Dungeness Crab","commercial",2009,2009-07-01,"open","summer offshore",46.15,48.383116,"Area outside 4 miles, OR-WA border to Cape Flattery","http://www.psmfc.org/crab/2008-2009%20files/Notice%20to%20Fishers%20Processors%204%20mile%20managment%207%2013%2009.pdf",NA
"56","Dungeness Crab","commercial",2010,2009-07-01,"open","summer offshore",46.15,48.383116,"Area outside 4 miles, OR-WA border to Cape Flattery","http://www.psmfc.org/crab/2008-2009%20files/Notice%20to%20Fishers%20Processors%204%20mile%20managment%207%2013%2009.pdf",NA
"57","Dungeness Crab","commercial",2009,2009-08-01,"close","summer offshore",46.15,48.383116,"Area outside 4 miles, OR-WA border to Cape Flattery","http://www.psmfc.org/crab/2008-2009%20files/Notice%20to%20Fishers%20Processors%204%20%20mile%20closure%207%2028%2009.pdf",NA
"58","Dungeness Crab","commercial",2010,2009-08-01,"close","summer offshore",46.15,48.383116,"Area outside 4 miles, OR-WA border to Cape Flattery","http://www.psmfc.org/crab/2008-2009%20files/Notice%20to%20Fishers%20Processors%204%20%20mile%20closure%207%2028%2009.pdf",NA
"59","Dungeness Crab","commercial",2009,2009-12-01,"open","body condition",41.9981226,46.264709,"OR","http://www.psmfc.org/crab/2009-2010%20files/Oregon%20Department%20of%20Fish%20and%20Wildlife.pdf",NA
"60","Dungeness Crab","commercial",2009,2009-12-01,"open","body condition",38.7666488,41.9981226,"Mendocino to Del Norte","http://www.psmfc.org/crab/2009-2010%20files/CA%20Dcrab_Presoak_2009_1117.pdf",NA
"61","Dungeness Crab","commercial",2009,2009-12-01,"close","gear reduction",46.15,46.28,"OR-WA border to Klipsan Beach","http://www.psmfc.org/crab/2009-2010%20files/letter%20to%20fishers%2012%2018%2009_FINAL.pdf",NA
"62","Dungeness Crab","commercial",2009,2009-12-01,"close","body condition",46.28,47.405,"Klipsan Beach to Destruction Island","http://www.psmfc.org/crab/2009-2010%20files/letter%20to%20fishers%2012%2018%2009_FINAL.pdf",NA
"63","Dungeness Crab","commercial",2009,2009-12-01,"close","body condition",47.405,48.48,"Destruction Island to WA-Canada Border","http://www.psmfc.org/crab/2009-2010%20files/letter%20to%20fishers%2012%2018%2009_FINAL.pdf",NA
"64","Dungeness Crab","commercial",2009,2009-12-01,"close","SMA",47.405,47.58,"Quileute SMA, Destruction Island to Cape Johnson","http://www.psmfc.org/crab/2009-2010%20files/letter%20to%20fishers%2012%2018%2009_FINAL.pdf",NA
"65","Dungeness Crab","commercial",2009,2009-12-01,"close","SMA",48.02,48.195,"Makah SMA","http://www.psmfc.org/crab/2009-2010%20files/letter%20to%20fishers%2012%2018%2009_FINAL.pdf",NA
"66","Dungeness Crab","commercial",2009,2010-01-02,"open","gear reduction",46.15,46.28,"OR-WA border to Klipsan Beach","http://www.psmfc.org/crab/2009-2010%20files/letter%20to%20fishers%2012%2018%2009_FINAL.pdf",NA
"67","Dungeness Crab","commercial",2010,2010-01-02,"open","body condition",46.28,47.405,"Klipsan Beach to Destruction Island","http://www.psmfc.org/crab/2009-2010%20files/letter%20to%20fishers%2012%2018%2009_FINAL.pdf",NA
"68","Dungeness Crab","commercial",2010,2010-01-02,"close","SMA",47.08,47.28,"Quinault SMA, Copalis River to Raft River","http://www.psmfc.org/crab/2009-2010%20files/letter%20to%20fishers%2012%2018%2009_FINAL.pdf",NA
"69","Dungeness Crab","commercial",2010,2010-01-15,"open","body condition",47.405,48.48,"Destruction Island to WA-Canada Border","http://www.psmfc.org/crab/2009-2010%20files/WA%20Industry%20Notice.01.08.10.pdf",NA
"70","Dungeness Crab","commercial",2010,2010-02-14,"close","SMA/gear reduction",48.02,48.195,"Makah SMA","http://www.psmfc.org/crab/2009-2010%20files/WA%20Industry%20Notice.01.08.10.pdf",NA
"71","Dungeness Crab","commercial",2010,2010-03-01,"open","SMA",47.08,47.28,"Quinault SMA, Copalis River to Raft River","http://www.psmfc.org/crab/2009-2010%20files/letter%20to%20fishers%2012%2018%2009_FINAL.pdf",NA
"72","Dungeness Crab","commercial",2010,2010-03-01,"close","SMA/gear reduction",47.245,47.28,"Split Rock to Raft River","http://www.psmfc.org/crab/2009-2010%20files/letter%20to%20fishers%2012%2018%2009_FINAL.pdf",NA
"73","Dungeness Crab","commercial",2010,2010-03-01,"close","SMA/gear reduction",47.08,47.245,"Quinault Secondary SMA, Copalis River to Split Rock","http://www.psmfc.org/crab/2009-2010%20files/letter%20to%20fishers%2012%2018%2009_FINAL.pdf",NA
"74","Dungeness Crab","commercial",2010,2010-03-15,"open","SMA/gear reduction",48.02,48.195,"Makah SMA","http://www.psmfc.org/crab/2009-2010%20files/WA%20Industry%20Notice.01.08.10.pdf",NA
"75","Dungeness Crab","commercial",2010,2010-05-01,"close","SMA/gear reduction",47.405,47.58,"Quileute SMA, Destruction Island to Cape Johnson","http://www.psmfc.org/crab/2009-2010%20files/letter%20to%20fishers%2012%2018%2009_FINAL.pdf",NA
"76","Dungeness Crab","commercial",2010,2010-06-01,"open","SMA/gear reduction",47.405,47.58,"Quileute SMA, Destruction Island to Cape Johnson","http://www.psmfc.org/crab/2009-2010%20files/letter%20to%20fishers%2012%2018%2009_FINAL.pdf",NA
"77","Dungeness Crab","commercial",2010,2010-12-01,"open","body condition",38.908,46.28,"Point Arena to Klipsan Beach","http://www.psmfc.org/crab/2010-2011%20Files/OR_Dungeness_Crab_Season_Open_Date.pdf",NA
"78","Dungeness Crab","commercial",2010,2010-12-01,"open","body condition",38.7666488,41.9981226,"Mendocino to Del Norte","http://www.psmfc.org/crab/2010-2011%20Files/CA_Final_Signed_letter_Crab_Traps.pdf",NA
"79","Dungeness Crab","commercial",2010,2010-12-01,"close","gear reduction",46.15,46.28,"OR-WA border to Klipsan Beach","http://www.psmfc.org/crab/2010-2011%20Files/WA_letter_to_fishers_12_06_10_FINAL.pdf",NA
"80","Dungeness Crab","commercial",2010,2010-12-01,"close","body condition",46.28,47.405,"Klipsan Beach to Destruction Island","http://www.psmfc.org/crab/2010-2011%20Files/WA_letter_to_fishers_12_06_10_FINAL.pdf",NA
"81","Dungeness Crab","commercial",2010,2010-12-01,"close","body condition",47.405,48.48,"Destruction Island to WA-Canada Border","http://www.psmfc.org/crab/2010-2011%20Files/WA_letter_to_fishers_12_06_10_FINAL.pdf",NA
"82","Dungeness Crab","commercial",2010,2010-12-10,"close","body condition",42.25,42.5,"OR, from Rogue River to Cape Blanco","http://www.psmfc.org/crab/2010-2011%20Files/OR_2010_Closure_Notice_12_10_10.pdf",NA
"83","Dungeness Crab","commercial",2011,2011-01-15,"open","body condition",46.28,47.405,"Klipsan Beach to Destruction Island","http://www.psmfc.org/crab/2010-2011%20Files/WA_letter_to_fishers_12_06_10_FINAL.pdf",NA
"84","Dungeness Crab","commercial",2011,2011-01-15,"open","body condition",47.405,48.48,"Destruction Island to WA-Canada Border","http://www.psmfc.org/crab/2010-2011%20Files/WA_letter_to_fishers_12_06_10_FINAL.pdf",NA
"85","Dungeness Crab","commercial",2011,2011-01-15,"close","SMA",47.08,47.28,"Quinault SMA, Copalis River to Raft River","http://www.psmfc.org/crab/2010-2011%20Files/WA_letter_to_fishers_12_06_10_FINAL.pdf",NA
"86","Dungeness Crab","commercial",2011,2011-01-15,"close","SMA",47.405,47.58,"Quileute SMA, Destruction Island to Cape Johnson","http://www.psmfc.org/crab/2010-2011%20Files/WA_letter_to_fishers_12_06_10_FINAL.pdf",NA
"87","Dungeness Crab","commercial",2010,2011-01-16,"open","body condition",42.25,42.5,"OR, from Rogue River to Cape Blanco","http://www.psmfc.org/crab/2010-2011%20Files/OR_2010_Closure_Notice_12_10_10.pdf",NA
"88","Dungeness Crab","commercial",2011,2011-02-14,"close","SMA/gear reduction",48.02,48.195,"Makah SMA","http://www.psmfc.org/crab/2010-2011%20Files/WA_letter_to_fishers_12_06_10_FINAL.pdf",NA
"89","Dungeness Crab","commercial",2011,2011-03-16,"open","SMA/gear reduction",48.02,48.195,"Makah SMA","http://www.psmfc.org/crab/2010-2011%20Files/WA_letter_to_fishers_12_06_10_FINAL.pdf",NA
"90","Dungeness Crab","commercial",2011,2011-03-22,"close","SMA/gear reduction",47.08,47.28,"Raft river to Split rock","http://www.psmfc.org/crab/2010-2011%20Files/WA_letter_to_fishers_12_06_10_FINAL.pdf",NA
"91","Dungeness Crab","commercial",2011,2011-03-22,"close","SMA",47.08,47.245,"Quinault Secondary SMA, Copalis River to Split Rock","http://www.psmfc.org/crab/2010-2011%20Files/WA_letter_to_fishers_12_06_10_FINAL.pdf",NA
"92","Dungeness Crab","commercial",2011,2011-05-01,"close","SMA/gear reduction",47.405,47.58,"Quileute SMA, Destruction Island to Cape Johnson","http://www.psmfc.org/crab/2010-2011%20Files/Industry_Notice_Quileute_SMA04272011.pdf",NA
"93","Dungeness Crab","commercial",2011,2011-06-01,"open","SMA/gear reduction",47.405,47.58,"Quileute SMA, Destruction Island to Cape Johnson","http://www.psmfc.org/crab/2010-2011%20Files/Industry_Notice_Quileute_SMA04272011.pdf",NA
"94","Dungeness Crab","commercial",2011,2011-12-01,"close","body condition",38.7666488,41.9981226,"Mendocino to Del Norte","http://www.psmfc.org/crab/2011-2012%20files/CA_Jan15_opener.pdf",NA
"95","Dungeness Crab","commercial",2011,2011-12-01,"close","body condition",NA,NA,"OR","http://www.psmfc.org/crab/2011-2012%20files/ODFW%20season_delay%20notice_111011.pdf",NA
"96","Dungeness Crab","commercial",2011,2011-12-01,"close","body condition",46.15,46.28,"OR-WA border to Klipsan Beach","http://www.psmfc.org/crab/2011-2012%20files/WA_111011.pdf",NA
"97","Dungeness Crab","commercial",2011,2011-12-01,"close","body condition",46.28,47.405,"Klipsan Beach to Destruction Island","http://www.psmfc.org/crab/2011-2012%20files/ODFW%20season_delay%20notice_111011.pdf",NA
"98","Dungeness Crab","commercial",2011,2011-12-01,"close","body condition",47.405,48.48,"Destruction Island to WA-Canada Border","http://www.psmfc.org/crab/2011-2012%20files/ODFW%20season_delay%20notice_111011.pdf",NA
"99","Dungeness Crab","commercial",2011,2011-12-01,"close","body condition",47.08,47.245,"Quinault Secondary SMA, Copalis River to Split Rock","http://www.psmfc.org/crab/2011-2012%20files/ODFW%20season_delay%20notice_111011.pdf",NA
"100","Dungeness Crab","commercial",2011,2011-12-15,"open","body condition",42.26,46.15,"North OR, from near Gold Beach to OR-WA border","http://www.psmfc.org/crab/2011-2012%20files/WA_letter_12082011.pdf",NA
"101","Dungeness Crab","commercial",2011,2011-12-15,"close","body condition/gear restriction",46.15,46.28,"OR-WA border to Klipsan Beach","http://www.psmfc.org/crab/2011-2012%20files/WA_letter_12082011.pdf",NA
"102","Dungeness Crab","commercial",2012,2012-01-15,"open","body condition",38.7666488,41.9981226,"Mendocino to Del Norte","http://www.psmfc.org/crab/2011-2012%20files/CA_Jan15_opener.pdf",NA
"103","Dungeness Crab","commercial",2012,2012-01-15,"open","body condition",41.9981226,42.26,"South OR, from OR-CA border to near Gold Beach","http://www.psmfc.org/crab/2011-2012%20files/WA_letter_12082011.pdf",NA
"104","Dungeness Crab","commercial",2012,2012-01-24,"open","body condition",46.28,47.405,"Klipsan Beach to Destruction Island","http://www.psmfc.org/crab/2011-2012%20files/ODFW_letter_01062012.pdf",NA
"105","Dungeness Crab","commercial",2012,2012-01-24,"open","body condition",47.405,48.48,"Destruction Island to WA-Canada Border","http://www.psmfc.org/crab/2011-2012%20files/ODFW_letter_01062012.pdf",NA
"106","Dungeness Crab","commercial",2012,2012-01-24,"close","SMA",47.08,47.28,"Quinault SMA, Copalis River to Raft River","http://www.psmfc.org/crab/2011-2012%20files/ODFW_letter_01062012.pdf",NA
"107","Dungeness Crab","commercial",2012,2012-01-24,"close","SMA",47.08,47.245,"Quinault Secondary SMA, Copalis River to Split Rock","http://www.psmfc.org/crab/2011-2012%20files/ODFW_letter_01062012.pdf",NA
"108","Dungeness Crab","commercial",2012,2012-01-24,"close","SMA",47.405,47.58,"Quileute SMA, Destruction Island to Cape Johnson","http://www.psmfc.org/crab/2011-2012%20files/ODFW_letter_01062012.pdf",NA
"109","Dungeness Crab","commercial",2012,2012-01-24,"close","SMA",48.02,48.195,"Makah SMA","http://www.psmfc.org/crab/2011-2012%20files/ODFW_letter_01062012.pdf",NA
"110","Dungeness Crab","commercial",2012,2012-02-23,"close","SMA/gear reduction",48.02,48.195,"Makah SMA","http://www.psmfc.org/crab/2011-2012%20files/ODFW_letter_01062012.pdf",NA
"111","Dungeness Crab","commercial",2012,2012-03-25,"open","SMA/gear reduction",48.02,48.195,"Makah SMA","http://www.psmfc.org/crab/2011-2012%20files/ODFW_letter_01062012.pdf","dcument says the gear redustion is remove after 30 days that the area opens to state fisheries."
