"LkupHabitatID","FdHabitat"
"325","lives in dense school on the outer continental shelf; anadromous fish"
"326","lives under rocks, in caves, or far back in crevices"
"327","living on bottom of shallow and deeper coastal waters"
"328","lodged under reefs or crevices"
"329","low relief rock, often in crevices; vegetation; kelp forests; artificial reefs"
"330","lower intertidal"
"331","M.cephalus unable to ovulate in freshwater"
"332","mainly juv herring; lessor (lg/med/sm calanoid, decapod larva)"
"333","majority of adult color morphs were collected in plant habitats that closely matched the color of the fish"
"334","majority of juvenile color morphs were collected in plant habitats that closely matched the color of the fish"
"335","males and females segregate by sex, males in deeper waters and females inshore"
"336","marine and benthic or pelagic, on the continental and insular shelves and upper slopes"
"337","marine and benthic, neritic, on the continental shelves"
"338","marine, nearshore; sometimes enter freshwater"
"339","marsh (China Poot, Alaska)"
"340","masses on rocks"
"341","masses on rocks in the kelp zone (Bamfield Inlet)"
"342","may spawn in the inshore shallows, possible in estuaries"
"343","migrate to salt water to spawn"
"344","mixed rock and sand; turf; kelp forest bottoms with or without foliose algae; eelgrass and surfgrass beds; rocky coastlines; pilings; artificial reefs; bays and estuaries; in sandy areas north of Santa Barbara; soft substrate in southern CA Bight"
"345","most adults found in less than 150 m"
"346","most found nearshore"
"347","mostly in shallow polyhaline waters of bays and along coast"
"348","mostly inshore up to 250 miles offshore"
"349","move to adult habitat"
"350","mud and sandy bottom"
"351","Mugu Lagoon, southern CA"
"352","NA"
"353","Nanaimo, B.C."
"354","nearly all bottom habitats from intertidal zone to at least 427 m "
"355","nearshore"
"356","nearshore and coastal waters"
"357","nearshore and several miles offshore, but generally in large protected areas"
"358","nearshore areas, segregated from older age classes"
"359","nearshore coastal waters"
"360","nearshore in estuaries and sandy intertidal"
"361","nearshore sandy substrate"
"362","nearshore, subtidal, Pysht River mouth"
"363","neritic nearshore; artificial reefs; kelp beds; bays; over soft substrata"
"364","neritic; sandy nearshore bottom and midwaters; kelp beds; artificial reefs"
"365","neritic; tide pools; rocky reefs; kelp forests; in caves and crevices"
"366","nest in rocky areas with high current velocites; spawning on cobble-oyster shell substrate in slow current;  -1.8 m to 22 m below MLLW; shallowest in slow current area"
"367","nests in crevices, beneath overhanging rock, extend lower intertidal to 18.9m"
"368","neuston of bays and shallow coastal waters"
"369","NG"
"370","night: nearshore water column, Santa Catalina Island"
"371","night: upper water column (5-15 m) over open fields of Dictyopteris (brown algae), Santa Catalina Island"
"372","No external eggs"
"373","non-rocky shelf; continental slope/basin; sandy/soft bottoms; mud-cobble"
"374","occur along sandy beaches, in kelp beds, over rocky reefs, and around piers"
"375","occur throughout the water column, larger larvae occur closer to shore"
"376","occurs between the surface and 48 m"
"377","occurs in deep water in the north and south of range"
"378","occurs in estuaries, around kelp beds, in bays, and in open water"
"379","occurs nearshore, with larger individuals ocurring deeper"
"380","occurs throughout water column, most abundant in midwater"
"381","offshore, midwater and bottom tows in Hecate Strait and Queen Charlotte Sound, B.C."
"382","often buried in mud or sand"
"383","often found in lower reaches of coastal streams"
"384","often found inshore"
"385","often found offshore"
"386","on rocks or algal holdfasts in areas of strong currents"
"387","open ocean, sometimes entering kelp beds"
"388","open ocean, under kelp patties; shallow sandy areas with rocks; kelp canopy and rocky shores; caves and crevices"
"389","open rocky areas, retreats to crevices and holes, or hides in spines of sea urchins when threatened"
"390","optimal salinity for eggs at 22-24 C is 22-23‰"
"391","or soft bottom"
"392","over & among rocks in shallow water from 1.3-11.5 m (4-35 ft); often in kelp beds near canopy"
"393","over sandy bottoms; kelp bed understory"
"394","over soft bottom on continental shelf"
"395","pebbly or semi-rocky bottoms"
"396","pelagic"
"397","pelagic (Oregon <65 km offshore)"
"398","pelagic (up to 500-600 miles offshore)"
"399","pelagic along Pacific coast , bays and estuaries"
"400","pelagic in bays"
"401","pelagic in coastal waters and bays"
"402","pelagic in estuaries"
"403","pelagic in riverine-marine waters, most often found in estuaries"
"404","pelagic surface (Strait of Georgia, B.C.)"
"405","pelagic surface, Strait of Georgia, B.C."
"406","pelagic until ~35 mm"
"407","pelagic, but often found near the bottom in estuarine and marine waters"
"408","pelagic, in estuaries and coastal waters"
"409","pelagic, surface"
"410","pelagic, surface, inshore"
"411","pelagic/ inshore and in tide pools"
"412","pelagic/ kelp"
"413","pelagic/ warm inshore waters"
"414","pelagic/neritic; kelp beds; rocky peaks; drifting kelp; artificial reefs"
"415","pelagic/tide pools; shallow rocky intertidal; surfgrass beds"
"416","pelagic; drifting kelp mats/high relief rock; artificial reefs"
"417","pelagic; drifting kelp mats; artificial reefs"
"418","pelagic; kelp canopy; rocky reefs; artificial reefs"
"419","pelagic; kelp canopy; rocky reefs; sand and low rock; artificial reefs"
"420","pelagic; kelp canopy; rocky shelf; drifting kelp; surfgrass beds; artificial reefs"
"421","pelagic; low or high relief rock; sand-rock interface; crevices; estuaries; eelgrass; low-relief artificial reefs"
"422","pelagic; nearshore sand-rock interface"
"423","pelagic; nearshore sand-rock interface; algal beds"
"424","pelagic; nearshore sand-rock interface; kelp canopy; rocky shelf; high rock; artificial reefs"
"425","pelagic; nearshore sand-rock interface; rocky shelf; demersal "
"426","pelagic; nearshore sand-rock interface; seagrass beds; kelp canopy; midwater; high rock; artificial reefs; bays and estuaries; tide pools"
"427","pelagic; nearshore shallow"
"428","pelagic; neuston"
"429","pelagic; NF"
"430","pelagic; rock and cobble; rocky shelf; sponge gardens, such as boot sponge; high relief rock; low-relief artificial reefs"
"431","pelagic; rock; low-growing algae; tidepools; artificial reefs"
"432","pelagic; rocky shelf"
"433","pelagic; sand and mud; bedrock and cobble; caves and crevices; artificial reefs"
"434","pelagic; sand, mud, and gravel; low rock and cobble; kelp bed; demersal; artificial reefs"
"435","pelagic; seagrass; kelp canopy; low growing algae; rock and cobble; high relief rock; sand and low rock; low-relief artificial reefs"
"436","pelagic; shallow continetal shelf"
"437","pelagic; shallow, broken-rock; sponge gardens; high-relief within crevices"
"438","pelagic; shallow, rocky reefs"
"439","pelagic; soft sediment; sand-silt interface; artificial reefs"
"440","pelagic; soft substrate; low relief rock; algal beds; sand-silt interface"
"441","pelagic;kelp canopy; artificial reefs"
"442","pelagic?; NF"
"443","perch horizontally"
"444","piers and docks; sandy/muddy shallows; eelgrass and surfgrass beds; rocky reefs; sand-rock interface; artificial reefs; kelp bed bottoms, occasionally midwater"
"445","planktonic"
"446","planktonic (neuston)"
"447","planktonic in polyhaline to mesohaline areas (Sacramento-San Joaquin estuary, Moss Landing Harbor and Elkhorn Slough, CA)"
"448","planktonic, coastal waters"
"449","planktonic, deep water "
"450","planktonic, midwater"
"451","planktonic, nearshore waters"
"452","planktonic, school near the surface, found in embayments"
"453","planted vertically in mud or attached to rocks"
"454","preference for modal temperature of 25 C"
"455","primarily a marine fish that prefers estuaries, bays, sloughs, and lagoons"
"456","primarily estuarine species"
"457","primarily offshore"
"458","pupped in estuaries"
"459","Queen Charlotte Sound"
"460","reduced salinity tolerance of larvae with age"
"461","remain at sea until they are about 18-28 mm, at which time they move to the coast"
"462","remain in bays and estuaries up to 2 yrs. then move offshore"
"463","remain in shallow water embayments until 15.0-20.0 cm SL"
"464","remains buried in the bottom during the day"
"465","resident populations in lagoons"
"466","residents in reef areas"
"467","rests immobile on sandy substrate at all hours of day and  night, exposed or under a thin layer of sediment"
"468","river (Mad River, Humboldt Co, CA)"
"469","rock and cobble; rocky shelf"
"470","rock or rock-sand bottom"
"471","rock; rock crevices; rock and biological substrate; biological substrate"
"472","rock-and-sand"
"473","rocks and pilings; surfzone; bays and sandy areas; artificial reefs"
"474","rocky and sandy bottom of kelp forest; burrow between rocks at night; surf grass beds; artificial reefs; tide pools"
"475","rocky areas with heavy encrustation of shelled animal life, usually inside crevices, more common around slands than off mainland"
"476","rocky areas, often in crevices"
"477","rocky bottom, kelp beds, sandy draws between rocks and on sand flats"
"478","rocky bottoms near kelp beds; artificial reefs; smaller individuals over sandy bottoms"
"479","rocky bottoms; kelp holdfasts and beds; eelgrass and surfgrass beds; not greatly influenced by removal of kelp canopy; mud/sand bottoms; artificial reefs; areas of high relief"
"480","rocky crevices, current-swept narrows, shallow water, exposed coastal reefs; -1.8 to -21.9 m MLLW (San Juan Islands, WA); +1.0 to -10.4 m MLLW, cobble & oyster shells (Dabob Bay, WA)"
"481","rocky nearshore"
"482","rocky reef (13 m), Pendleton Artificial Reef "
"483","rocky reef species"
"484","rocky reefs and crevices; occasionally over sandy and muddy substrates; artificial reefs; kelp beds"
"485","rocky reefs in crevices; stony bottoms; artificial reefs; kelp forests"
"486","rocky reefs; kelp forest bottoms in crevices"
"487","rocky shelf and boulder fields; in crevices; continental slope/basin; sandy/soft bottoms; kelp forest bottom"
"488","rocky shelf and shelf; kelp canopy in mid-water column; artificial reefs"
"490","rocky shelf; continental slope/basin; high relief"
"491","rocky shelf; continental slope/basin"
"492","rocky shelf; continental slope/basin; boulder/cobble-mud"
"493","rocky shelf; continental slope/basin; broken rock and boulder fields; high,complex pinnacles; crevices and cracks"
"494","rocky shelf; hard or mixed bottom; high releif; cobble-mub"
"495","rocky shelf; high relief; mixed bottoms"
"496","rocky shelf; mud-rock or sand-mud interface; fine-sediments; high & low relief; artificial reefs"
"497","rocky shores and reef bottoms; midwater; kelp beds and forest; artficial reefs; soft substrata"
"498","rocky shores; pilings; kelp forest bottoms; surfgrass beds; soft-bottoms; artificial reefs"
"499","rocky substrates of shelf and continental slope/basin; high relief; within crevices"
"500","rocky substrates; artificial reefs"
"501","rocky to sandy areas"
"502","rocky, algal-covered areas of kelp beds, also in algal-covered bottom without kelp"
"503","rocky/ non-rocky shelf, canyon and continental slope/basin; high & low relief; soft-bottoms"
"504","rocky/mixed rock substrates"
"505","rocky-bottom kelp-bed habitat"
"506","S Cal rocky inshore and kep beds"
"507","sand and mud bottom "
"508","sand and mud bottoms"
"509","sand and mud bottoms; bury themselves in substrate during the day"
"510","sand and mud of bays and open coast"
"511","sand and muddy sand substrate"
"512","sand bottoms near rocks or eelgrass; sand depressions; bays and estuaries; surfgrass"
"513","sand or mixed sand substrate in waters <50 m "
"514","sand or mud bottom"
"515","Sand or mud bottom off beaches and in bays and sloughs"
"516","sand or mud bottom off beaches and in bays and sloughs"
"517","sand, gravel substrate, rock slopes"
"518","sand, gravel substrate, rock slopes, or soft bottom"
"519","sandy and sand-mud bottom"
"520","sandy bottom dwellers, often found in vicinity of rocks  and algae"
"521","sandy bottoms"
"522","sandy bottoms and sloughs; near breakwaters and bay entrances; in holes or depressions; artificial reefs"
"523","sandy bottoms; bays and sloughs; surf; artificial reefs"
"524","sandy or muddy flats, cobble bottoms, rocky reef, and kelp beds"
"525","sandy or sand-mud bottom"
"526","sandy substrate of bays and  estuaries"
"527","sandy to mud bottom"
"528","schools in coastal waters including bays and estuaries, may enter fresh water"
"529","schools nearshore along open coast and in bays"
"530","schools nearshore, especially in bays and estuaries and near kelp beds"
"531","schools nearshore, usually at or near surface along open coast and in bays"
"532","seagrass beds; lagoons"
"533","seek cover by burrowing in the mud or sand"
"535","sensitive to low and high temperatures"
"536","sex segregation assoc. with sediment"
"537","shallow bays and estuaries"
"538","shallow bays and in submarine canyons"
"539","shallow coastal waters, bays, and estuaries"
"540","shallow embayments and estuaries"
"541","shallow inshore waters and bays"
"542","shallow inshore waters in bays and along coast"
"543","shallow inshore waters used as nursery grounds"
"544","shallow muddy habitat"
"545","shallow open coast and bays"
"546","shallow rock/ high-relief rocky shelf; vegetation; rock-sand; interface; eelgrass beds; high-relief artificial reefs"
"547","shallow rock/ rocky shelf; often within crevices; estuarine; high relief rock; high-relief artificial reefs"
"548","shallow rocky reef bottoms/ rocky shelf; kelp forest bottom; artificial reefs"
"549","shallow rocky reef; kelp canopy; midwater nearshore; artificial reefs"
"550","shallow rocky reefs"
"551","shallow rocky reefs; kelp beds; artificial reefs"
"552","shallow rocky, high-relief substrates; crevices; artificial reefs"
"553","shallow sandy areas"
"554","shallow sandy bottoms nearshore"
"555","shallow sandy bottoms, moving deeper during winter"
"556","shallow sandy habitat with vegetation"
"557","shallow sandy or sandy mud bottoms; surf zone; bays"
"558","shallow surf and sandy bottoms"
"559","shallow surf and sandy bottoms; rocky outcroppings and jetties; mouths of estuaries; artificial reefs"
"560","shallow water bays over the continental shelf"
"561","shallow water in dense algae; rocky areas; artificial reefs"
"562","shallow water near kelp & eelgrass beds"
"563","shallow water or intertidal zone"
"564","shallow water, among sessile inverts in areas of high currents"
"565","shallow water, riverine, estuarine, marine"
"566","shallow water, sandy-bottom association"
"567","shallow, sandy surf; artificial reefs; rocky outcrops"
"568","shelter among urchin-filled crevices"
"569","shelter in holes and crevices at night"
"570","shelves and upper slopes"
"571","Shikotan Island"
"572","Simushir & Shikotan Islands"
"573","sleeps in rock crevices and holes at night"
"574","sloughs"
"575","sloughs and estuaries serve as a nursery ground"
"576","soft bottom"
"577","soft bottoms of continental slope/basin"
"578","soft or rocky bottom"
"579","soft sand or mud, located offshore"
"580","soft substrate"
"581","soft to mixed bottoms; bank edges; cobble-mud"
"582","some found in freshwater, indicating a freshwater spawning"
"583","some, but not all planktonic"
"584","sometimes aggregate near rocks and sand dollar beds"
"585","spawned in empty shells"
"586","spawned in fresh or slightly brackish water"
"587","spawned in nearshore coast waters"
"588","spawned in the surf zone of beaches, esp. during periods of high tides"
"589","spawned offshore over deep water"
"590","spawning individuals found subtidally"
"591","spawning occurs at sea, ranging from close to shore to 20 miles at sea"
"592","spawning substrate thought to be sandy-gravel areas with sand or aquatic plants"
"593","spawning takes place in schools"
"594","spawning takes place within 2 km of shore"
"595","spawns in shoals"
"596","spends most of life in salt water, moving up rivers to spawn in large numbers in spring"
"597","spring/summer-shallow bays and estuaries; mud/sand flats; kelp beds; winter- neritic"
"598","spring-summer seasonal of rocky intertidal"
"600","eggs brooded within specialized structure on adult male"
"602","surf and eelgrass beds; bays"
"603","surf zone"
"604","surface waters in harbors, along sandy beaches, and in the kelp canopy"
"605","surface waters of bays and estuaries"
"606","surface waters offshore, move inshore as they increase in size"
"607","surface waters Strait of Georgia, B.C."
"608","surface waters, Saanich Inlet, Vancouver Isl."
"609","surface waters, Strait of Georgia"
"610","surface waters, Strait of Georgia, B.C."
"611","surfgrass (Phyllospadix) beds"
"612","surfgrass beds"
"613","SW Vancouver Island"
"614","tidal creeks and inland slough regions"
"615","tidal embayment & seasonal estuary (Elkhorn Slough, central CA)"
"616","tidal flats, bays, costal sloughs; prefers mud bottom in shallow water"
"617","tideflat (Coos Bay, OR)"
"618","tidepools"
"619","tolerant of a wide range of salinities, limited in distribution by temperature "
"620","tolerates euryhaline conditions"
"621","tough, pink conspicuous masses, often above low-tide mark"
"622","two color morphs of eggs; purple yolk with orange oil globules and yellow yolk and yellow oil globules"
"623","two resident freshwater populations: Harrison Lake, British Columbia and Lake Washington, Washington"
"624","usually found near surface"
"625","usually offshore"
"626","usually offshore rocky reefs and around islands"
"627","various (eelgrass beds, bays, estuaries)"
"628","various bottom (broken rock/boulder or bedrock wall)"
"629","various bottom (fine sediment, cobble, rock/boulder, bedrock slope, walls, ledges)"
"630","vertically dispersed at night"
"631","viable limit for hatching  16.0-26.5 C"
"632","viable limit for hatching 14.0-28.5 C"
"634","within 2 km from shore"
"635","within 4 to 5 km of shore"
"636","within and around the kelp canopy; high relief rocky and artificial reefs"
"637","within kelp forest cover"
"638","without kelp"
"639","young gradually migrate to deeper waters"
"640","young juveniles: gravel bottoms; older juveniles (32 to 42 mm TL): pebble bottoms"
"641","muddy bottom"
"642","deep water"
"643","warm inshore waters"
"644","tide pools; shallow rocky intertidal; surfgrass beds"
"645","inshore and in tide pools"
"646","kelp"
