"ReferenceName","FoodTypeID"
"817","412"
"76","453"
"466","454"
"842","454"
"577","454"
"244","454"
"244","456"
"1480","456"
"720","164"
"577","167"
"842","169"
"564","170"
"1100","165"
"40","166"
"345","168"
"135","4"
"1208","74"
"436","75"
"528","75"
"166","75"
"1438","75"
"351","75"
"632","79"
"1179","79"
"1180","79"
"622","79"
"627","79"
"1181","79"
"1208","80"
"577","83"
"518","83"
"684","83"
"632","83"
"166","83"
"1438","83"
"630","83"
"610","174"
"351","458"
"684","77"
"1388","77"
"506","77"
"351","77"
"842","77"
"443","1"
"339","1"
"232","1"
"1372","1"
"1274","1"
"453","1"
"226","1"
"842","1"
"1003","1"
"842","2"
"339","2"
"339","3"
"135","3"
"937","3"
"842","3"
"443","73"
"339","73"
"1017","73"
"1019","73"
"483","73"
"59","73"
"40","73"
"79","73"
"528","73"
"165","73"
"454","73"
"351","73"
"279","73"
"635","73"
"758","73"
"229","73"
"147","73"
"613","73"
"842","73"
"506","7"
"91","6"
"577","5"
"687","5"
"103","5"
"453","5"
"454","5"
"561","5"
"484","5"
"613","5"
"326","5"
"842","5"
"487","253"
"741","253"
"1395","254"
"487","255"
"1395","40"
"443","31"
"656","27"
"454","28"
"1098","28"
"758","29"
"948","30"
"1159","32"
"305","33"
"436","34"
"99","35"
"842","36"
"230","37"
"1346","37"
"541","38"
"99","39"
"350","13"
"656","14"
"758","15"
"1159","16"
"1159","17"
"982","18"
"305","19"
"842","20"
"982","20"
"454","21"
"541","21"
"230","21"
"1098","22"
"350","23"
"99","24"
"436","26"
"310","440"
"40","441"
"577","442"
"311","442"
"1076","437"
"693","438"
"506","439"
"692","432"
"40","433"
"577","434"
"673","434"
"842","435"
"453","436"
"1285","568"
"443","567"
"1285","567"
"312","567"
"230","567"
"307","567"
"453","567"
"1185","567"
"817","567"
"842","567"
"1278","136"
"1382","137"
"1278","138"
"948","132"
"1098","133"
"817","134"
"443","134"
"842","135"
"90","121"
"91","122"
"93","473"
"1010","475"
"93","476"
"95","474"
"1300","233"
"377","234"
"291","235"
"871","236"
"377","237"
"377","238"
"1443","239"
"377","241"
"1245","242"
"1330","243"
"1300","244"
"68","245"
"69","245"
"1088","246"
"1088","247"
"147","248"
"448","249"
"1088","250"
"99","251"
"165","252"
"1010","470"
"1098","471"
"1","472"
"483","119"
"363","120"
"377","214"
"1443","215"
"724","216"
"1067","217"
"68","219"
"69","219"
"377","220"
"724","221"
"1088","222"
"291","223"
"1088","224"
"147","225"
"1089","226"
"1330","227"
"448","228"
"1088","229"
"99","231"
"165","232"
"1010","466"
"1098","467"
"483","468"
"2","636"
"99","636"
"290","636"
"1296","636"
"261","636"
"244","636"
"290","295"
"1297","295"
"1297","288"
"1169","289"
"1301","290"
"244","98"
"290","598"
"1301","599"
"483","600"
"1174","601"
"118","602"
"842","131"
"409","162"
"1297","461"
"1169","641"
"842","642"
"1297","303"
"76","455"
"720","171"
"1100","172"
"650","633"
"99","635"
"436","631"
"290","631"
"1160","631"
"1296","631"
"344","632"
"2","634"
"842","634"
"344","291"
"842","292"
"290","292"
"1160","292"
"553","292"
"1297","292"
"599","293"
"650","293"
"466","294"
"650","294"
"1169","285"
"842","286"
"290","286"
"1297","287"
"1168","287"
"333","96"
"1127","96"
"1146","96"
"577","96"
"244","94"
"189","95"
"1110","584"
"470","586"
"1301","588"
"641","590"
"189","592"
"1174","593"
"164","594"
"483","595"
"45","596"
"45","597"
"290","585"
"261","585"
"577","587"
"717","587"
"411","589"
"344","591"
"261","604"
"443","604"
"817","604"
"290","603"
"842","605"
"290","128"
"443","129"
"1192","130"
"1146","54"
"290","55"
"409","158"
"1146","159"
"577","159"
"261","159"
"403","160"
"401","160"
"404","160"
"290","161"
"842","304"
"290","304"
"401","304"
"404","304"
"406","304"
"407","304"
"842","459"
"1297","459"
"1169","459"
"1146","459"
"749","459"
"817","460"
"1003","639"
"817","640"
"842","638"
"1169","638"
"749","638"
"75","638"
"842","296"
"650","297"
"1297","298"
"99","299"
"99","300"
"466","301"
"1003","302"
"443","630"
"171","630"
"842","411"
"443","411"
"443","78"
"430","78"
"339","78"
"1372","78"
"1098","78"
"59","78"
"230","78"
"40","78"
"1347","78"
"723","78"
"610","78"
"1178","78"
"632","78"
"801","78"
"1284","78"
"607","78"
"1177","78"
"1180","78"
"626","78"
"622","78"
"1183","78"
"608","78"
"817","78"
"1184","78"
"454","78"
"351","78"
"279","78"
"634","78"
"635","78"
"229","78"
"842","78"
"609","81"
"489","81"
"339","81"
"193","81"
"483","81"
"518","81"
"684","81"
"1178","81"
"632","81"
"801","81"
"1284","81"
"607","81"
"1177","81"
"1179","81"
"1183","81"
"25","81"
"296","81"
"1184","81"
"634","81"
"842","81"
"630","82"
"817","173"
"351","173"
"635","173"
"758","173"
"229","173"
"842","173"
"842","175"
"339","175"
"430","195"
"339","195"
"801","195"
"842","195"
"635","195"
"443","392"
"430","392"
"339","392"
"1372","392"
"483","392"
"1098","392"
"59","392"
"40","392"
"1347","392"
"170","392"
"351","392"
"635","392"
"758","392"
"842","392"
"443","457"
"489","457"
"339","457"
"1372","457"
"1098","457"
"1274","457"
"801","457"
"1284","457"
"453","457"
"817","457"
"351","457"
"635","457"
"842","457"
"443","76"
"489","76"
"430","76"
"339","76"
"1098","76"
"183","76"
"1347","76"
"684","76"
"801","76"
"1284","76"
"1388","76"
"555","76"
"817","76"
"506","76"
"351","76"
"635","76"
"758","76"
"558","76"
"524","76"
"842","76"
"1395","371"
"92","407"
"1137","408"
"577","409"
"244","410"
"776","388"
"497","388"
"436","389"
"912","390"
"244","92"
"912","93"
"436","194"
"244","452"
"436","367"
"842","367"
"32","368"
"1083","369"
"33","370"
"1414","370"
"40","64"
"1163","65"
"689","65"
"471","72"
"244","402"
"939","403"
"938","404"
"1330","405"
"1032","406"
"915","406"
"436","384"
"665","385"
"1330","386"
"123","387"
"471","90"
"244","91"
"453","193"
"644","210"
"244","211"
"1330","212"
"123","213"
"244","451"
"40","418"
"615","418"
"123","419"
"869","431"
"869","426"
"1098","362"
"842","363"
"1414","365"
"33","366"
"40","366"
"436","366"
"1110","361"
"1083","364"
"771","58"
"814","59"
"689","59"
"40","60"
"842","61"
"1330","62"
"1110","63"
"454","71"
"817","71"
"40","66"
"47","66"
"471","67"
"842","68"
"40","69"
"601","70"
"99","70"
"47","393"
"32","396"
"483","397"
"165","398"
"842","399"
"601","400"
"577","401"
"524","394"
"147","395"
"40","372"
"771","372"
"748","372"
"524","373"
"1330","374"
"483","375"
"125","376"
"40","377"
"436","378"
"601","379"
"1088","380"
"123","381"
"842","382"
"592","383"
"771","84"
"577","85"
"842","88"
"471","89"
"1110","86"
"143","87"
"842","190"
"785","191"
"817","192"
"787","199"
"477","199"
"1234","200"
"524","201"
"483","202"
"477","203"
"1234","204"
"1210","205"
"661","206"
"1110","207"
"244","208"
"842","209"
"577","209"
"771","655"
"524","443"
"1330","444"
"99","445"
"842","446"
"483","446"
"601","447"
"939","448"
"665","448"
"938","448"
"244","449"
"817","450"
"615","413"
"40","413"
"483","414"
"123","416"
"842","417"
"461","415"
"842","427"
"461","428"
"869","429"
"842","430"
"461","424"
"869","425"
"967","425"
"40","420"
"601","421"
"461","422"
"842","423"
"842","256"
"40","608"
"842","609"
"1305","610"
"1429","257"
"580","258"
"130","259"
"842","260"
"443","261"
"443","262"
"130","263"
"1429","264"
"580","265"
"1378","111"
"984","107"
"1378","108"
"1378","109"
"984","110"
"99","102"
"870","103"
"982","104"
"1378","105"
"454","106"
"443","10"
"453","11"
"1098","12"
"443","646"
"609","647"
"615","648"
"1098","649"
"453","8"
"1098","9"
"609","643"
"615","644"
"1098","645"
"1138","148"
"1","149"
"90","150"
"90","151"
"1077","332"
"138","333"
"1138","334"
"1","335"
"1137","336"
"91","337"
"90","338"
"248","339"
"248","340"
"1077","341"
"1077","342"
"1077","343"
"1077","344"
"248","345"
"248","346"
"1138","142"
"981","147"
"92","144"
"1","143"
"193","145"
"203","146"
"95","156"
"1035","157"
"981","325"
"1425","330"
"1425","331"
"544","326"
"248","327"
"254","328"
"254","329"
"1098","324"
"92","323"
"1077","322"
"197","321"
"203","139"
"483","140"
"828","141"
"1477","152"
"759","153"
"1162","154"
"1035","155"
"1072","305"
"1301","306"
"472","307"
"1098","308"
"483","309"
"248","310"
"203","311"
"981","312"
"942","313"
"250","314"
"254","315"
"254","316"
"1425","317"
"92","318"
"92","319"
"255","320"
"817","115"
"1273","115"
"96","115"
"948","115"
"1430","656"
"1287","126"
"96","126"
"451","127"
"817","112"
"1140","112"
"453","112"
"1273","112"
"96","112"
"615","112"
"698","112"
"1001","112"
"635","112"
"655","112"
"97","112"
"570","112"
"1098","112"
"443","112"
"842","112"
"948","112"
"1098","113"
"842","113"
"96","114"
"1287","123"
"655","123"
"97","123"
"1098","123"
"97","124"
"1098","124"
"451","125"
"97","266"
"817","267"
"454","267"
"1273","267"
"230","267"
"615","267"
"698","267"
"655","267"
"570","267"
"1098","267"
"443","267"
"842","267"
"1098","268"
"842","268"
"1303","350"
"581","350"
"609","350"
"842","350"
"817","117"
"375","117"
"1139","117"
"1303","117"
"1140","117"
"609","117"
"454","117"
"1319","117"
"723","117"
"1001","117"
"635","117"
"1098","117"
"443","117"
"842","117"
"996","118"
"817","347"
"375","347"
"1139","347"
"1303","347"
"1342","347"
"612","347"
"454","347"
"581","347"
"170","347"
"609","347"
"1302","347"
"635","347"
"142","347"
"1098","347"
"443","347"
"842","347"
"142","348"
"996","349"
"817","566"
"375","566"
"996","566"
"1139","566"
"1303","566"
"1140","566"
"297","566"
"453","566"
"1342","566"
"1357","566"
"299","566"
"1421","566"
"609","566"
"1347","566"
"723","566"
"1302","566"
"1304","566"
"324","566"
"1439","566"
"1098","566"
"443","566"
"29","566"
"842","566"
"948","566"
"211","45"
"443","45"
"431","46"
"453","47"
"381","47"
"739","47"
"1041","277"
"600","278"
"340","279"
"656","280"
"1324","281"
"1293","282"
"343","283"
"1020","284"
"1020","272"
"1020","273"
"453","274"
"597","274"
"386","274"
"454","274"
"1378","275"
"419","276"
"1098","116"
"453","116"
"842","116"
"822","116"
"454","116"
"443","116"
"1137","626"
"95","627"
"436","628"
"577","629"
"436","583"
"1137","187"
"95","188"
"1455","189"
"1137","619"
"1137","620"
"95","621"
"577","622"
"436","623"
"92","624"
"88","625"
"436","581"
"983","582"
"90","181"
"95","182"
"1137","183"
"92","184"
"1137","185"
"436","186"
"93","614"
"90","615"
"577","616"
"436","617"
"842","618"
"436","576"
"577","577"
"983","578"
"982","579"
"385","580"
"453","575"
"189","176"
"842","177"
"90","178"
"577","179"
"436","180"
"313","607"
"453","607"
"460","607"
"443","606"
"313","606"
"1095","606"
"453","606"
"817","606"
"1439","606"
"460","606"
"842","606"
"173","57"
"1303","57"
"609","57"
"285","198"
"817","56"
"453","56"
"1341","56"
"822","56"
"176","56"
"851","56"
"173","56"
"1208","56"
"595","56"
"609","56"
"635","56"
"1098","56"
"172","56"
"443","56"
"842","56"
"817","196"
"1341","196"
"822","196"
"454","196"
"286","196"
"1217","196"
"1222","196"
"723","196"
"773","196"
"635","196"
"285","196"
"1098","196"
"443","196"
"842","196"
"948","196"
"996","197"
"436","44"
"184","44"
"390","44"
"389","44"
"1033","44"
"389","657"
"390","657"
"1395","101"
"436","101"
"353","101"
"1176","101"
"716","101"
"184","101"
"184","271"
"1395","571"
"353","571"
"1176","571"
"184","571"
"380","42"
"436","43"
"380","43"
"436","100"
"185","100"
"1387","100"
"842","100"
"1024","270"
"842","270"
"1003","270"
"909","463"
"365","570"
"361","570"
"185","570"
"609","570"
"817","41"
"1235","41"
"436","41"
"453","41"
"1315","41"
"1366","41"
"1033","41"
"1081","41"
"909","41"
"1098","41"
"443","41"
"842","41"
"1235","99"
"436","99"
"39","99"
"1426","99"
"852","99"
"954","99"
"595","99"
"914","99"
"1387","99"
"909","99"
"842","99"
"1235","269"
"453","269"
"211","269"
"758","269"
"227","269"
"909","269"
"443","269"
"842","269"
"1003","269"
"817","462"
"1235","462"
"228","462"
"909","462"
"443","462"
"842","462"
"817","569"
"1235","569"
"39","569"
"365","569"
"361","569"
"615","569"
"609","569"
"1098","569"
"443","569"
"842","569"
"1235","637"
"1275","637"
"615","637"
"909","637"
"842","637"
"1003","637"
"1289","482"
"961","482"
"1289","485"
"961","485"
"1289","488"
"961","488"
"1289","491"
"961","491"
"1289","497"
"961","497"
"1289","500"
"961","500"
"1289","503"
"961","503"
"1289","506"
"961","506"
"1289","509"
"961","509"
"1289","512"
"961","512"
"1289","515"
"961","515"
"1289","518"
"961","518"
"1289","521"
"961","521"
"1289","524"
"961","524"
"1289","527"
"961","527"
"1289","530"
"961","530"
"1289","533"
"961","533"
"1289","536"
"961","536"
"1289","539"
"961","539"
"1289","545"
"961","545"
"1289","548"
"961","548"
"1289","551"
"961","551"
"1289","554"
"961","554"
"960","554"
"1289","556"
"961","556"
"1289","559"
"961","559"
"838","559"
"1289","562"
"961","562"
"842","465"
"862","478"
"502","478"
"817","478"
"1229","478"
"1228","478"
"303","478"
"1289","479"
"961","479"
"862","481"
"502","481"
"8","481"
"862","484"
"1091","484"
"502","484"
"1229","484"
"1228","484"
"862","487"
"502","487"
"1229","487"
"1092","487"
"1228","487"
"556","487"
"988","487"
"8","487"
"862","490"
"502","490"
"1289","494"
"961","494"
"862","493"
"502","493"
"862","496"
"502","496"
"862","499"
"502","499"
"40","499"
"862","502"
"502","502"
"244","502"
"862","505"
"502","505"
"862","508"
"502","508"
"862","511"
"502","511"
"988","511"
"684","511"
"862","514"
"502","514"
"1229","514"
"1228","514"
"862","517"
"502","517"
"1359","517"
"862","520"
"502","520"
"942","520"
"533","520"
"611","520"
"1228","520"
"1229","520"
"1501","520"
"862","523"
"502","523"
"862","526"
"502","526"
"862","529"
"502","529"
"862","532"
"502","532"
"1228","532"
"1229","532"
"6","532"
"862","535"
"502","535"
"862","538"
"502","538"
"862","541"
"502","541"
"1289","542"
"961","542"
"862","544"
"502","544"
"244","544"
"842","544"
"862","547"
"502","547"
"862","550"
"502","550"
"862","553"
"502","553"
"244","553"
"40","553"
"862","555"
"502","555"
"862","558"
"502","558"
"817","558"
"1229","558"
"1228","558"
"609","558"
"1406","558"
"862","561"
"502","561"
"244","565"
"1237","565"
"847","464"
"1095","464"
"1098","464"
"817","464"
"615","464"
"40","464"
"635","464"
"1439","464"
"443","464"
"842","464"
"1098","477"
"797","477"
"1130","477"
"817","477"
"562","477"
"794","477"
"808","477"
"615","477"
"1355","477"
"203","477"
"609","477"
"152","477"
"303","477"
"1110","477"
"237","477"
"375","477"
"561","477"
"635","477"
"324","477"
"1439","477"
"1307","477"
"237","477"
"443","477"
"842","477"
"230","480"
"1098","480"
"817","480"
"1392","480"
"1270","480"
"194","480"
"1110","480"
"7","480"
"635","480"
"443","480"
"842","480"
"1502","483"
"1095","483"
"1098","483"
"1130","483"
"562","483"
"794","483"
"808","483"
"203","483"
"152","483"
"1110","483"
"561","483"
"635","483"
"1307","483"
"443","483"
"842","483"
"230","486"
"1155","486"
"1091","486"
"981","486"
"794","486"
"808","486"
"1392","486"
"906","486"
"1270","486"
"1048","486"
"203","486"
"244","486"
"987","486"
"988","486"
"194","486"
"1110","486"
"8","486"
"635","486"
"842","486"
"244","489"
"1110","489"
"842","489"
"838","489"
"1502","492"
"797","492"
"1130","492"
"817","492"
"562","492"
"794","492"
"808","492"
"203","492"
"152","492"
"1110","492"
"237","492"
"561","492"
"1439","492"
"1307","492"
"237","492"
"842","492"
"842","495"
"1110","495"
"838","495"
"1095","495"
"244","498"
"40","498"
"1110","498"
"635","498"
"842","498"
"244","501"
"40","501"
"1110","501"
"842","501"
"1110","504"
"842","504"
"838","504"
"1110","507"
"842","507"
"837","507"
"244","507"
"1110","510"
"842","510"
"1155","510"
"981","510"
"1392","510"
"1156","510"
"988","510"
"684","510"
"1110","513"
"842","513"
"150","513"
"1155","513"
"981","513"
"562","513"
"808","513"
"1392","513"
"1270","513"
"1156","513"
"152","513"
"1501","513"
"561","513"
"1110","516"
"842","516"
"1074","516"
"1098","516"
"808","516"
"40","516"
"1359","516"
"324","516"
"1073","516"
"443","516"
"1110","519"
"842","519"
"613","519"
"443","519"
"934","519"
"942","519"
"617","519"
"829","519"
"1098","519"
"533","519"
"611","519"
"1130","519"
"562","519"
"808","519"
"1374","519"
"40","519"
"429","519"
"1501","519"
"561","519"
"635","519"
"1110","522"
"842","522"
"454","522"
"1155","522"
"808","522"
"1156","522"
"1155","525"
"1156","525"
"842","525"
"1110","528"
"842","528"
"244","528"
"1110","531"
"842","531"
"1074","531"
"150","531"
"808","531"
"1156","531"
"188","531"
"1268","531"
"10","531"
"102","531"
"1071","531"
"244","534"
"1110","537"
"842","537"
"230","537"
"1098","537"
"817","537"
"808","537"
"948","537"
"627","537"
"454","537"
"635","537"
"443","537"
"1110","540"
"842","540"
"244","540"
"244","543"
"40","543"
"842","543"
"1110","546"
"842","546"
"1155","546"
"1392","546"
"1156","546"
"1110","549"
"842","549"
"838","549"
"244","549"
"1110","552"
"842","552"
"1074","552"
"244","552"
"40","552"
"1110","557"
"842","557"
"829","557"
"1095","557"
"1098","557"
"1130","557"
"817","557"
"838","557"
"562","557"
"808","557"
"615","557"
"152","557"
"1406","557"
"561","557"
"635","557"
"935","557"
"443","557"
"842","560"
"1439","560"
"635","560"
"615","560"
"1095","560"
"1098","560"
"842","563"
"150","563"
"941","563"
"244","564"
"1237","564"
"842","564"
"436","354"
"436","355"
"436","360"
"436","353"
"90","353"
"303","353"
"613","353"
"842","353"
"450","357"
"436","359"
"1352","359"
"1128","359"
"842","359"
"436","351"
"1285","351"
"829","351"
"1095","351"
"1470","351"
"1098","351"
"230","351"
"723","351"
"610","351"
"627","351"
"303","351"
"295","351"
"817","351"
"375","351"
"822","351"
"635","351"
"1439","351"
"613","351"
"842","351"
"996","352"
"443","356"
"450","356"
"38","356"
"1319","356"
"504","356"
"817","356"
"454","356"
"842","356"
"443","358"
"1098","358"
"230","358"
"1347","358"
"723","358"
"1128","358"
"914","358"
"635","358"
"842","358"
"1285","574"
"1285","573"
"1285","572"
"1187","572"
"1098","572"
"453","572"
"817","572"
"443","572"
"952","51"
"1104","52"
"1194","52"
"107","52"
"952","52"
"593","52"
"1195","52"
"842","52"
"1350","53"
"1194","653"
"659","653"
"1194","654"
"319","654"
"842","654"
"453","48"
"177","49"
"1104","49"
"1194","49"
"995","49"
"417","49"
"651","49"
"658","49"
"659","49"
"485","49"
"932","49"
"203","49"
"698","49"
"655","49"
"593","49"
"725","49"
"1307","49"
"842","49"
"651","50"
"657","50"
"698","50"
"655","50"
"577","650"
"1194","650"
"995","650"
"107","650"
"659","650"
"454","650"
"203","650"
"655","650"
"725","650"
"319","650"
"842","650"
"657","651"
"655","651"
"203","652"
"453","391"
"454","391"
"982","613"
"443","611"
"817","611"
"1098","612"
"1096","163"
"91","353"
"92","353"
"626","351"
"1500","519"
"1500","513"
"1500","520"
"1138","408"
